"word","mean","ipa","exampleSentence","translatedSentence","type"
"distinguish","...を区別する / 〈物事が〉…の特徴である / 《通例canと共に》…をはっきり見る,聞く / 〈自分〉を目立たせる","/dɪˈstɪŋɡwɪʃ/","It is important to distinguish between right and wrong.","正しいことと間違ったことを区別することは重要です。","NGSL"
"massive","大きくて重い / 大規模な, 膨大な","/mæsɪv/","The elephant is massive.","象は大きいです。","NGSL"
"greet","〈他〉〈人など〉にあいさつする / 《喜び・親しみ・悪意などをもって》…を迎える《with ...》","/ɡriːt/","I greet my friends every morning.","私は毎朝友達に挨拶をします。","NGSL"
"period","〈C〉(あることが続く) 期間 / (歴史的な) 時代 / (試合の)一区切り / 《おもに米》ピリオド, 終止符","/ˈpɪəriəd/","The period of the dinosaurs lasted [[up to]] 65 million years.","恐竜の時代は6,500万年まで続いたと言われています。","NGSL"
"crucial","重要な / 決定的な / 必須の / 不可欠な","/ˈkruːʃəl/","This information is crucial for the success of the project.","この情報はプロジェクトの成功に重要です。","NGSL"
"transition","〈U/C〉《...から...への》移行, 変遷《from ... to ...》 / 《...から...への》過渡期《from ... to ...》","/trænˈzɪʃən/","The transition from summer to autumn is always beautiful.","夏から秋への移り変わりはいつも美しいです。","NGSL"
"competitive","競争の, 競争による / 競争心の強い","/kəmˈpɛtətɪv/","She is very competitive and always wants to win.","彼女はとても競争心が強く、いつも勝ちたがっています。","NGSL"
"responsibility","〈U〉責任があること / 〈C〉責任を負うべきこと, 責務","/rɪˌspɑːnsəˈbɪləti/","Taking responsibility for your actions is important.","自分の行動に責任を持つことは重要です。","NGSL"
"discussion","〈U〉《...についての》議論, 討論, 検討《about, on ...》","/dɪˈskʌʃən/","The discussion about the new project lasted for hours.","新しいプロジェクトについての議論は数時間続きました。","NGSL"
"democratic","民主主義の / (人・態度などが)民主的な","/dɪˈmɑːkrətɪk/","The country has a strong democratic tradition.","その国は強い民主主義の伝統を持っています。","NGSL"
"stick","〈C〉棒, 棒切れ,枝 / (歩行用)ステッキ,杖  / 《~ of ...》 棒状《の...》 /《話》処罰,せっかん","/stɪk/","I found a stick on the ground.","地面にあった棒を見つけました。","NGSL"
"such","《特定の種類・程度を示して》こんな,あんな / 《類似の種類・程度を示して》そんな,そのような / 《名詞の前にのみ用いて》とても / 《補語にのみ用いて》そのような","/sʌtʃ/","I have never seen such a beautiful sunset before.","私はこんな美しい夕日を見たことがありません。","NGSL"
"indication","〈U〉《...を》指摘すること, 表示すること《of ...》 / 〈U/C〉表れ, 徴候, 兆し","/ˌɪndɪˈkeɪʃən/","The doctor gave me an indication of how long my recovery would take.","医者は私に回復にどれくらい時間がかかるかの指摘をしました。","NGSL"
"fund","〈C〉《特定の目的のための》資金, 基金《for ...》 / 《a ~》(すぐに役立つ知職などの)蓄え,蓄積","/fʌnd/","I need to raise funds for my new business venture.","新しいビジネスベンチャーのために資金を集める必要があります。","NGSL"
"statement","声明；供述","/ˈsteɪtmənt/","He made a statement to the police about the incident.","彼は事件について警察に供述した。","NGSL"
"morning","〈C〉〈U〉朝,午前(午前0時または夜明けから正午まで)  / 〈U〉《the~》(物事の)始まり,夜明け,黎明(れいめい)《+of+名》  / 《名詞の前にのみ用いて》朝の","/'mɔːrnɪŋ/","The morning sun was so beautiful.","朝日が美しかった。","NGSL"
"rural","田舎の, 農村の / 田舎風の / 農業の","/ˈrʊərəl/","I grew up in a rural area surrounded by fields and farms.","私は田舎の畑や農場に囲まれた地域で育ちました。","NGSL"
"folk","〈C〉《米・しばしば複数形で》 人々 / 《話》 《one's ~》 家族 / 《古》民族 / 《話》《呼び掛けに用いて》皆さん","/fəʊk/","Now folks, let's go on.","さあ、みんな、先へ進もう。","NGSL"
"hundred","〈C〉(数の) 100 / 《複数形で》何百《もの…》, 多数《の…》 《of ...》 / 《米話》100ドル /《英話》100ポンド / 【形】100の / 《a ~》数多くの","/ˈhʌn.dɹəd/","There are a hundred people in the room.","部屋には百人います。","NGSL"
"inform","《...を》〈人〉に知らせる《of ...》 / 《...の》情報を提供する, 《...を》密告する《on, upon, against ...》","/ɪnˈfɔrm/","I will inform him of the meeting.","私は彼に会議のことを知らせます。","NGSL"
"otherwise","ほかの点では / そうでなければ, さもないと / 別の方法で","/ˈʌðɚˌwaɪz/","I don't like spicy food, but otherwise, I enjoy trying new dishes.","辛い食べ物は好きではありませんが、それを除けば新しい料理を試すのが楽しいです。","NGSL"
"judgment","【名/U】判断力 / 【名/U/C】判断, 判定 / 判決 / 【名/C】《判断に基づく》 見解 《on ...》　裁判","/ˈdʒʌdʒ.mənt/","Whether a judgment is correct or not varies from person to person.","とある判断が正しいかどうかは、人によって異なる。","NGSL"
"department","〈C〉(政府・会社・学校などの組織の) 部門 / 《英》(官庁の)局 / (フランスなどの) 県,州","/dɪˈpɑːrtmənt/","The marketing department is responsible for promoting the company's products.","マーケティング部門は、会社の製品の宣伝を担当しています。","NGSL"
"external","外側の, 外部の / (作用・動作などが) 外側からの","/ɪkˈstɜːrnəl/","The external walls of the building are made of glass.","建物の外壁はガラス製です。","NGSL"
"maintain","〈ある状催・動作〉を維持する, を続ける / を主張する / 〈家族など〉を扶養する","/mənˈteɪn/","It is important to maintain a healthy lifestyle.","健康な生活を維持することは重要です。","NGSL"
"photograph","写真を撮る","/fəˈtɑːɡrɑːf/","I love to photograph beautiful landscapes.","私は美しい風景を撮影するのが大好きです。","NGSL"
"section","〈C〉(全体を構成する個々の) 部分,部品 / (内部構造を示す)断面図 / 〈U〉切断すること /","/ˈsɛkʃən/","This book is divided into 10 sections.","この本は１０つのセクションに分かれている。","NGSL"
"nevertheless","それでもやはり / それにもかかわらず","/nɛvərðəˈlɛs/","She was tired; nevertheless, she continued working.","彼女は疲れていた。それにもかかわらず、彼女は仕事を続けた。","NGSL"
"remote","遠い、遠隔の、離れた、かすかな、わずかな","/rɪˈmoʊt/","The lighthouse was just a remote speck in the distance.","灯台は遠くのかすかな点だけでした。","NGSL"
"trillion","【名/C】(アメリカ・フランスでは) 兆 / (イギリス・ドイツでは)100京 / 《くだけて》無数","/'trɪljən/","The company's revenue reached a trillion dollars last year.","会社の収益は昨年、1兆ドルに達しました。","NGSL"
"agricultural","農業の, 農耕の, 農学の","/ˌæɡrɪˈkʌltʃərəl/","The agricultural sector plays a vital role in the country's economy.","農業部門は、国の経済において重要な役割を果たしています。","NGSL"
"precise","正確な, 的確な / 《名詞の前にのみ用いて》まさにその / (必要量などに)ちょうどの / (人,考え・規則などか)厳格な","/pɹɪˈsaɪs/","He gave a precise answer to the question.","彼は質問に正確な答えをした。","NGSL"
"elderly","年配の,初老の / 《the ~》年配の人たち","/ˈɛldərli/","The elderly couple enjoys taking walks in the park every morning.","年配の夫婦は毎朝公園で散歩を楽しんでいます。","NGSL"
"impose","《...に》 (重荷・税金など)を課する, を負わせる《on, upon ...》 / (考えなど)を押しつける,を強いる《on, upon ...》 / 《...に》つけこむ, 甘える《on, upon ...》","/ɪmˈpoʊz/","The government plans to impose new taxes on high-income earners.","政府は高所得者に新たな税金を課す予定です。","NGSL"
"live","《名詞の前にのみ用いて》生きている / 活気のある / (問題などが)当面の / 燃えている / (弾丸などが)まだ爆発してない,未発の / まだ動いている,有効な / 電流が通じている / (放送が)生の,実況の","/laɪv/","I don't want to eat a live lobster.","私は生きたままのえびは食べたくない。","NGSL"
"mature","成熟した","/məˈtʃʊr/","She is a mature and responsible adult.","彼女は成熟した責任感のある大人です。","NGSL"
"province","〈C〉(国の行政区画としての)州,省,県 / 〈U〉(権威・責任などの及ぶ)範囲, (学問・活動などの)領域,分野 / 《the ~s》(首都・大都市に対して) 地方,いなか","/prɑːvɪns/","He moved to a small province to escape the busy city life.","彼は忙しい都会の生活を逃れるために小さな州に引っ越しました。","NGSL"
"smooth","(表面が) なめらかな, 平らな","/smʊð/","Her skin is smooth and flawless.","彼女の肌は滑らかで完璧です。","NGSL"
"expert","〈C〉《...の》専門家, 熟練者《at, in, on ...》","/ɪkˈspɜːrt/","He is an expert in his field.","彼は自分の分野の専門家です。","NGSL"
"broad","幅の広い / 広大な / 寛大な / 広範囲にわたる","/brɔːd/","She has a broad knowledge of various subjects.","彼女はさまざまな科目について幅広い知識を持っています。","NGSL"
"additional","付け加えた,追加の / 特別の","/əˈdɪʃənəl/","I need to make an additional comment on the report.","私はレポートに追加のコメントを付け加える必要があります。","NGSL"
"previous","《名詞の前にのみ用いて》前の, 先の, 以前の / 《補語にのみ用いて》《話》早まった,せっかちすぎる","/pɹiːviəs/","The previous owner of the house left behind some furniture.","その家の前の所有者が家具を残していった。","NGSL"
"throat","〈C〉(気管・食道部分としての) のど / のど状の物, (容器などの)首","/θroʊt/","I have a sore throat.","私はのどが痛いです。","NGSL"
"currency","〈C〉〈U〉通貨, 貨幣 / 〈U〉流通, 普及","/ˈkɜːrənsi/","I need to exchange my currency for euros.","私は通貨をユーロに両替する必要があります。","NGSL"
"stare","〈自〉《...を》じっと見つめる《at, into ...》 / 〈他〉をじっと見つめる, を凝視する","/stɛr/","She stared at him in disbelief.","彼女は信じられないという思いで彼を見つめた。","NGSL"
"throughout","《期間》…中[ずっと] /  《場所》…の至る所に","/θruːˈaʊt/","She worked hard throughout the day.","彼女は一日中一生懸命働きました。","NGSL"
"muscle","〈U〉(動物体の組織としての)筋肉,筋(きん);〈C〉(体の各部を動かす)筋肉  / 〈U〉力,(特に)筋力,腕力","/ˈmʌsəl/","He has strong muscles from working out regularly.","彼は定期的にトレーニングをしているので、筋肉が強いです。","NGSL"
"musician","音楽家,楽士  / 《おもに英》作曲家","/mjuˈzɪʃən/","The musician played a beautiful melody on the piano.","ピアニストは美しい旋律を弾いた。","NGSL"
"bus","バス","/bʌs/","I will take the bus to school.","学校へはバスに乗るつもりです。","NGSL"
"potentially","潜在的に, 可能性を秘めて","/pəˈtɛnʃəli/","He is potentially the best candidate for the job.","彼は最高の候補者である可能性がある。","NGSL"
"replace","取り替える；取って代わる；戻す、買い換える","/rɪˈpleɪs/","I need to replace the broken light bulb.","壊れた電球を取り替える必要があります。","NGSL"
"series","〈C〉(関連のあるもの・同種のものの) 連続 / (同種の貨幣・切手などの)一組 / (テレビ番組などの)連続物 / (電気の)直列","/ˈsɪəriːz/","I am currently watching a series on Netflix.","私は現在、Netflixでシリーズを視聴しています。","NGSL"
"stability","〈U〉安定, 安定性 / (人・意志などの)着実,強固,不変","/stəˈbɪləti/","The stability of the economy is crucial for the country's development.","経済の安定は国の発展にとって重要です。","NGSL"
"staff","〈C〉つえ / 支えとなるもの / 《集合的に》職員,社員 / 【動/他】...に職員を置く /","/stæf/","The staff at the hotel were very helpful and friendly.","ホテルのスタッフはとても親切でフレンドリーでした。","NGSL"
"text","原文 / 本文 / 教科書 / (議論・演説などの)主題、題目","/tɛkst/","The text of the book is written in a clear and concise manner.","この本の本文は明瞭かつ簡潔に書かれている。","NGSL"
"neighbor","〈C〉隣人, 近所の人 / 同胞, 仲間","/ˈneɪ.bər/","My neighbor is a friendly person.","私の隣人は親切な人です。","NGSL"
"myself","《強意用法》《Iと同格に用いて》私自身  / 《再帰用法》《動詞・前置詞の目的語として》私自身を(に),自分を(に)","/maɪˈsɛlf/","I can take care of it myself.","自分で対処できます。","NGSL"
"steel","〈U〉鋼鉄 / 〈C〉鋼鉄製品","/stiːl/","The construction of the building required a lot of steel.","建物の建設にはたくさんの鋼鉄が必要でした。","NGSL"
"yard","〈C〉ヤード(長さの単位で3フィート,約91.4センチ) / (日本で布を測るときの)ヤール / (特に建築業で)1立方ヤード","/jɑːrd/","The kids are playing in the yard.","子供たちは庭で遊んでいます。","NGSL"
